OBJECTID,Incident Name,Incident Type Category,Unique Fire Identifier,Daily Acres,Calculated Acres,Percent Contained,ICS209 Report Date Time,Fire Discovery Date Time,Discovery Acres,Point of Orgin County,Point of Orgin State,Cause,Cause General,Geographic Area Coordination Center,Total Incident Personnel,Incident Mgmt Organization,Mgmt Complexity,Residences Destroyed,Other Structures Destroyed,Injuries,Fatalities,Predominant Fuel Group,Predominant Fuel Model,Primary Fuel Model,Containment Date Time,Control Date Time,Final Acres,Is Valid,Fire Out Date Time,Modified On Date Time,Incident Type Kind,IRWIN ID,Global ID,Days Since Modified On Date,Days Since Fire Discovery Date,x,y
107,Bienville CPT 35 RX,RX,2024-MSMNF-000113,1010,,,,2/21/2024 2:43:00 PM,,Scott,US-MS,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 7:57:33 PM,FI,c2ad5594-d897-4c98-8079-eb369acda03e,beed72df-ba06-4fe9-94ec-953a4b984a2e,10,10,-89.6682,32.3898
108,Herrin Flats A RX,RX,2024-ILCOR-240059,104,,,,2/21/2024 3:31:00 PM,,Williamson,US-IL,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/21/2024 9:13:52 PM,FI,b4a9ad8a-0dfb-43dc-8d98-44b03bfe5843,390f275d-1475-436a-a147-3d4c1fd457bf,10,10,-89.056001,37.6839220000001
109,RX OKSLR-HFR-24-RX-SALT- FLATS 2,RX,2024-OKSLR-000284,367,,,,2/19/2024 1:03:12 PM,0.1,Alfalfa,US-OK,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 4:34:10 PM,FI,04a8fe18-798c-48e9-b146-5719fc142468,75d331d2-ec96-493d-bfdf-f9ed678780b2,10,13,-98.28354,36.747061
110,Grasshopper Hollow RX,RX,2024-MOMTF-000059,1134,,,,2/20/2024 1:39:11 PM,1134,Reynolds,US-MO,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/21/2024 4:44:43 PM,FI,536b7e3b-7034-4cef-a3a9-94d3945c5925,260b3807-9536-4c43-8a4e-ebc8feb680ce,10,12,-91.1131809999999,37.4205620000001
111,Carman Springs North RX,RX,2024-MOMTF-000052,2384,,,,2/19/2024 1:02:47 PM,2384,Howell,US-MO,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/21/2024 4:47:30 PM,FI,cba3593c-08e4-40a3-a331-402e61805192,9928892e-eed6-4181-8744-c497c90beeaa,10,13,-92.046572,36.946338
112,Wing River,WF,2024-MN1GS-000227,1,,,,2/18/2024 8:26:00 PM,1,Wadena,US-MN,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/29/2024 2:33:58 PM,FI,128946af-6a8f-45c8-b3c6-bbaaa78d93f2,76c7ce3d-952e-4ac5-b2b8-1814fc8814ec,2,13,-94.987467,46.4696680000001
113,Surprise,WF,2024-MN1GS-000226,19,,,,2/17/2024 7:30:00 PM,19,Wadena,US-MN,Undetermined,,EACC,,,,,,,,,,,,,,1,,2/29/2024 2:33:04 PM,FI,0551759a-e7b8-4069-bd63-c1098dd6294c,e633d7f1-57eb-4688-872f-cf69f5de785c,2,14,-94.894636,46.5429360000001
114,TAL SITE 2 RX,RX,2024-ALALF-240098,980,,,,2/21/2024 2:15:00 PM,,Clay,US-AL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 7:11:52 PM,FI,1998dd51-1bac-40f2-826e-bae78c63c39f,5e101f20-d798-41f8-be3b-33dec6607b8b,10,10,-86.158333,33.1925000000001
115,BNK ANTIOCH RX,RX,2024-ALALF-240101,979,,,,2/21/2024 1:55:55 PM,,Winston,US-AL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 8:42:13 PM,FI,663b07b5-78ce-40be-8e4b-e0472637f436,1283bc3a-265d-41bc-b891-eac639e119c5,10,10,-87.408778,34.2407000000001
116,567 Riverbend Rd,WF,2024-MSMSS-011918,100,,100,2/21/2024 8:52:52 PM,2/21/2024 12:00:00 AM,,Marion,US-MS,Undetermined,,SACC,4,Type 5 IC,Type 5 Incident,,,,,,,Closed Timber Litter,,,,1,,2/21/2024 8:52:52 PM,FI,6255a673-4b2f-442b-976e-d96c22b3ed82,7641d8b9-02b3-4119-8def-279bb5207353,10,11,-89.9344444,31.3436111
117,ANF BU 97 98 Rx 0221,RX,2024-FLFNF-000601,2108,,,,2/21/2024 1:24:00 PM,,Liberty,US-FL,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 10:05:14 PM,FI,cb9db1b4-6fd4-4e00-85d8-8553f1e87182,f267c43d-1218-4829-a4ea-35e4017b01a0,10,11,-85.060667,30.0430000000001
118,RX C-22,RX,2024-LAKIF-000047,1594,,,,2/20/2024 2:19:00 PM,0.1,Winn,US-LA,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/21/2024 9:55:22 PM,FI,a1e0e50e-d78e-4a8a-ba55-4b26624e558e,801d3342-6e31-4793-bf6c-0bc82cff7d01,10,11,-92.8733329999999,32.0919440000001
119,Moore Hollow Fire,WF,2024-VAVAS-24WR00077,525,,100,2/25/2024 2:02:26 PM,2/21/2024 9:41:00 PM,,Lee,US-VA,Undetermined,,SACC,10,Type 4 IC,Type 4 Incident,,6,,,,,Timber (Litter and Understory),,,,1,,2/25/2024 2:02:26 PM,FI,9073df23-af13-4e2b-9a9a-80696c62884a,ca01af42-4775-4535-b9c6-75165b643464,6,10,-82.9949999999999,36.6205556
